ID,birth_ID
lilo,
winn,
glit,
plai,
quit,
kins,
dott,
juli,
zia,UNKN
izzy,
feli,
ajax,
spli,
bubb,
koby,
nina,
jers,
tear,
laza,
ruby,
meg,
orio,
uma,
cleo,
quin,
heid,
fran,
vinn,
roxy,
ocea,
jimm,
sash,
tess,
capo,
lola,
dodg,
dyla,UNKN
mist,
ging,
dais,
holl,
dann,
harrison,
amel,
ozzy,
jagg,
tom,
fay,
vale,
al,
scar,UNKN
yesl,UNKN
xala,
ella,UNKN
bowi,
gool,
paul,
jole,
penn,
kali,
blizz,
samu,UNKN
egor,
bigm,
trav,UNKN
grim,
stee,
king,
taco,
timb,
wymp,
arby,
twiz,
wend,UNKN
oliv,UNKN
rees,UNKN
auro,UNKN
whop,
beli,UNKN
drac,
dq,UNKN
wokb,UNKN
vlad,
pris,
zool,
shum,UNKN
leit,UNKN
egm,
maxi,UNKN
cycl,UNKN
worm,UNKN
mori,24-11-2008
dant,
arwe,UNKN
larr,
rasp,
bone,21-10-2009
laur,UNKN
vade,
ridd,
kujo,
mick,UNKN
obi,
mclo,
xena,UNKN
ted,
uthe,
lex,
phoe,UNKN
stev,
dext,
tyle,
char,UNKN
keit,
mand,UNKN
xavi,
carm,UNKN
chew,UNKN
evan,
tren,
lucy,17-10-2010
alla,
houd,27-12-2010
geor,23-11-2010
finn,07-10-2010
tori,UNKN
laya,UNKN
ralp,
razo,
panc,UNKN
crut,UNKN
ruth,
herm,UNKN
trac,UNKN
goog,UNKN
puzz,UNKN
glad,UNKN
tyso,UNKN
daff,UNKN
rain,UNKN
brie,UNKN
gir,UNKN
jora,UNKN
andr,UNKN
dunc,UNKN
arie,UNKN
nige,UNKN
tyva,UNKN
flo,UNKN
chun,
lisa,UNKN
valk,UNKN
ubun,UNKN
bern,
link,UNKN
loga,UNKN
fang,
max,UNKN
wall,
hugo,UNKN
af,
raqa,05-10-2008
am,
juve,
rica,UNKN
malc,UNKN
flyn,
lego,UNKN
ring,UNKN
rock,13-12-2012
macy,13-01-2012
tige,19-11-2009
jasm,UNKN
thun,UNKN
kels,UNKN
pene,UNKN
dori,UNKN
patr,UNKN
gimp,21-10-2009
schm,UNKN
coco,03-11-2010
talu,UNKN
gunt,UNKN
albi,UNKN
turt,UNKN
igor,UNKN
need,UNKN
bone ,21-10-2009
zanz,
larr ,
lego ,UNKN
naom,UNKN
valk ,UNKN
katn,04-11-2013
mori ,24-11-2008
raje,
gord,04-11-2013
egm2,
amy,31-10-2013
gizm,18-10-2013
eve,23-10-2013
cola,09-11-2014
pean,16-10-2014
disn,07-11-2013
saff,14-10-2013
cube,20-10-2014
peet,30-12-2013
wolo,13-10-2014
oreo,17-10-2013
deso,03-11-2014
yoda,
egm1,
clou,
magn,
egm5,
hect,18-10-2013
nife,09-11-2014
daen,22-10-2014
dart,25-11-2013
egon,
rodr,
egm7,
tita,02-11-2014
nobo,09-11-2014
lia,28-10-2013
pumb,22-10-2013
stru,20-10-2014
fent,14-10-2013
cact,07-11-2014
cind,22-10-2013
shel,22-10-2013
timm,29-10-2013
band,05-12-2013
luxe,01-01-2016
fina,15-11-2013
howz,11-11-2014
bilb,16-11-2014
damo,18-12-2014
puck,14-10-2013
swee,02-11-2014
polk,02-11-2014
spoc,31-10-2013
funk,15-11-2014
socr,27-10-2014
lore,27-10-2014
piec,05-11-2015
dire,12-12-2015
gats,12-12-2014
tucs,21-11-2014
home,22-10-2015
tarz,28-10-2013
wood,26-10-2015
pino,25-10-2015
sarg,27-10-2015
kumq,10-02-2016
leon,02-12-2013
pupi,20-11-2014
grub,28-10-2014
trip,04-11-2014
dice,14-11-2015
ligh,06-11-2014
arag,23-11-2015
prof,25-11-2013
emil,09-11-2015
torn,10-11-2015
loki,25-10-2013
podg,01-12-2014
glue,14-10-2013
vect,25-10-2013
elto,03-11-2014
caba,13-11-2015
kiss,23-10-2014
octo,14-11-2015
omni,03-11-2014
guge,02-12-2015
swaz,21-10-2016
cura,26-10-2016
port,05-01-2017
balu,
puzz ,UNKN
fent ,14-10-2013
jeez,
nyok,
laur ,UNKN
sarg ,27-10-2015
pond,03-11-2017
loui,UNKN
inie,
fafd,UNKN
fiji,
earn,
benn,
vasc,UNKN
mich,
eden,UNKN
miss,03-11-2017
bold,05-12-2017
terr,10-02-2018
prym,04-12-2017
hump,06-11-2017
tant,15-11-2017
sava,20-11-2017
lett,24-11-2017
crea,31-10-2017
alic,
rick,
eddi,
opal,
marl,
nata,
viva,
lanc,
iggy,
watt,
roxyinf09,15-10-2009
ginginf09,25-10-2009
izzyinf09,02-11-2009
baboon,
penninf09,13-11-2009
tearinf09,01-11-2009
ninainf09,07-11-2009
mous,
scarinf10,11-10-2010
oceainf10,25-10-2010
winninf10,26-10-2010
prisinf10,14-12-2010
xalainf10,21-11-2010
izzyinf10,21-12-2010
glitinf10,19-12-2010
daisinf10,04-11-2010
tearinf10,28-11-2010
ellainf10,27-12-2010
xyl,25-11-2008
luk,19-12-2011
han,14-02-2012
jon,10-01-2012
indi,24-01-2012
happ,
dott.juve,
zim,
tian,14-10-2009
rbm,
angi,
pepp,
juve.tyva,
rst,
driz,13-11-2012
cycl.mori,
came,07-01-2012
human,
pt,
sam,
inf13,
pene.valk,
puzz.herm,
rock.macy,
flo.lucy,
puzz.turt,
naom.trac,
coco.fina,
coco.inf13,
turt.inf14,
ubun.inf13,
lisa.juve,
inf13.inf13.inf13,
lisa.need,
dori.bone,
ocea.bone,
ite,
trac.turt,
pene.laur.kins,
inf13.naom,
turt.need,
lisa.naom,
zanz.kins,
kels.kins,
kels.zanz,
zool.bone,
tige.thun.dodg,
inf13.inf13,
jasm.dott,
disn.gord.lia,
uthe.leit,
tren.leit,
dott.jasm,
loga.jasm,
band.thor,
loki.timm,
inf14,
nina.cycl,
saff.spoc,
year,
wokb.dori,
malc.unkn,
razo.unkn,
pris.arwe,
macy.peet,
gimp.inf14,
amy.inf14,
amy.peet,
rock.leon,
thun.laya,
macy.rock,
lisa.disn,
disn.harr,
floinf14,
malc.jasm,
arweinf14,03-11-2014
jasm.tear,
eve.year,
year.year,
prof.loki,
ubun.jasm,
harr.gord.pumb,
year.year.year.year,
gord.disn,
oreo.saff.cind,
glue.jasm,
holl.gizm,
pumb.disn,
year.year.year,
jasm.eve,
lisainf14,07-12-2014
inf15,
jasminf15,22-10-2015
lucyinf16,04-10-2016
shuminf15,31-10-2015
lucyinf15,26-10-2015
laurinf15,15-11-2015
layainf15,14-11-2015
floinf15,01-01-2016
valkinf16,09-10-2016
needinf16,16-10-2016
laurinf16,18-10-2016
jasminf16,19-10-2016
ubuninf16,20-10-2016
hollinf16,21-10-2016
ellainf16,21-10-2016
saffinf16,26-10-2016
doriinf16,31-10-2016
tearinf16,04-11-2016
inf16,
cyclinf16,15-11-2016
dottinf16,13-12-2016
self,
inf17,
lisainf17,04-12-2017
snic,29-11-2017
oreoinf18,19-10-2018
woloinf18,21-10-2018
lucyinf18,19-10-2018
gizminf18,11-10-2018
amyinf18,19-10-2018
liainf18,25-10-2018
gordinf18,25-10-2018
lisainf18,24-10-2018
hollinf18,26-10-2018
needinf18,28-10-2018
inf18,
daffinf18,30-10-2018
ellainf18,28-10-2018
kati,
theo,
zepp,
rona,
crai,
bobo,
dave,
seba,02-11-2010
thor,22-10-2013
harr,04-11-2013
hord,27-10-2014
glac,15-11-2014
unfu,20-11-2015
