Date,Troop,AggressorID,VictimID,ResultWLDU,winner,loser,draw
2014-01-02,pt,leit,nige,1,leit,nige,FALSE
2014-01-02,pt,tyva,puzz,1,tyva,puzz,FALSE
2014-01-03,rbm,zool,lego,1,zool,lego,FALSE
2014-01-03,rbm,panc,ocea,2,ocea,panc,FALSE
2014-01-03,rst,ruby,tear,1,ruby,tear,FALSE
2014-01-03,rbm,holl,carm,1,holl,carm,FALSE
2014-01-06,rbm,scar,holl,1,scar,holl,FALSE
2014-01-09,pt,brie,puzz,1,brie,puzz,FALSE
2014-01-09,rst,arwe,ruby,1,arwe,ruby,FALSE
2014-01-10,rbm,tyle,fang,1,tyle,fang,FALSE
2014-01-10,rbm,bone,chew,1,bone,chew,FALSE
2014-01-10,rbm,scar,bone,1,scar,bone,FALSE
2014-01-10,rbm,scar,larr,1,scar,larr,FALSE
2014-01-10,rbm,flyn,phoe,1,flyn,phoe,FALSE
2014-01-10,rst,valk,nina,1,valk,nina,FALSE
2014-01-10,rst,kins,loga,1,kins,loga,FALSE
2014-01-10,rbm,ging,chew,1,ging,chew,FALSE
2014-01-10,rbm,panc,mori,1,panc,mori,FALSE
2014-01-10,rst,obi,shum,1,obi,shum,FALSE
2014-01-10,rbm,ging,larr,1,ging,larr,FALSE
2014-01-13,rbm,wokb,max,1,wokb,max,FALSE
2014-01-13,rbm,max,bern,1,max,bern,FALSE
2014-01-13,rbm,coco,ging,1,coco,ging,FALSE
2014-01-13,rbm,holl,carm,1,holl,carm,FALSE
2014-01-13,pt,puzz,glad,1,puzz,glad,FALSE
2014-01-13,pt,trac,puzz,1,trac,puzz,FALSE
2014-01-13,pt,tyva,lisa,1,tyva,lisa,FALSE
2014-01-14,pt,lisa,daff,1,lisa,daff,FALSE
2014-01-14,pt,puzz,keit,1,puzz,keit,FALSE
2014-01-14,pt,leit,glad,3,glad,leit,TRUE
2014-01-17,pt,tren,trac,2,trac,tren,FALSE
2014-01-18,pt,puzz,turt,1,puzz,turt,FALSE
2014-01-18,pt,daff,turt,3,turt,daff,TRUE
2014-01-18,rbm,scar,ocea,1,scar,ocea,FALSE
2014-01-18,pt,trac,leit,1,trac,leit,FALSE
2014-01-18,rbm,tyle,fang,1,tyle,fang,FALSE
2014-01-18,pt,tren,glad,3,glad,tren,TRUE
2014-01-18,pt,tyva,herm,1,tyva,herm,FALSE
2014-01-20,pt,herm,glad,1,herm,glad,FALSE
2014-01-20,rbm,carm,flo,1,carm,flo,FALSE
2014-01-20,rbm,panc,bone,1,panc,bone,FALSE
2014-01-20,rbm,panc,chew,1,panc,chew,FALSE
2014-01-20,rbm,scar,holl,1,scar,holl,FALSE
2014-01-20,rbm,ging,ocea,1,ging,ocea,FALSE
2014-01-21,rst,alla,arwe,1,alla,arwe,FALSE
2014-01-21,pt,tyva,daff,1,tyva,daff,FALSE
2014-01-21,pt,leit,nige,1,leit,nige,FALSE
2014-01-21,pt,trac,glad,1,trac,glad,FALSE
2014-01-21,pt,puzz,keit,1,puzz,keit,FALSE
2014-01-21,pt,herm,glad,1,herm,glad,FALSE
2014-01-21,pt,trac,herm,1,trac,herm,FALSE
2014-01-23,pt,tyva,herm,1,tyva,herm,FALSE
2014-01-23,rbm,bern,raqa,1,bern,raqa,FALSE
2014-01-24,rst,nina,glit,1,nina,glit,FALSE
2014-01-27,rbm,holl,panc,1,holl,panc,FALSE
2014-01-27,pt,tyva,daff,1,tyva,daff,FALSE
2014-01-27,rst,laur,kins,1,laur,kins,FALSE
2014-01-27,rbm,sash,carm,1,sash,carm,FALSE
2014-01-27,rst,nina,kins,1,nina,kins,FALSE
2014-01-27,rbm,schm,bern,1,schm,bern,FALSE
2014-01-27,rbm,sash,holl,1,sash,holl,FALSE
2014-01-27,rbm,zool,raqa,1,zool,raqa,FALSE
2014-01-28,rst,valk,laur,1,valk,laur,FALSE
2014-01-28,rst,dott,kins,1,dott,kins,FALSE
2014-01-28,rst,pris,laya,1,pris,laya,FALSE
2014-01-28,pt,trac,tyva,1,trac,tyva,FALSE
2014-01-28,pt,tyva,herm,1,tyva,herm,FALSE
2014-01-30,rbm,sash,lego,1,sash,lego,FALSE
2014-01-30,rbm,flo,wokb,1,flo,wokb,FALSE
2014-01-31,rbm,bern,chew,1,bern,chew,FALSE
2014-01-31,rbm,chew,raqa,1,chew,raqa,FALSE
2014-01-31,rbm,panc,dori,2,dori,panc,FALSE
2014-02-03,rst,valk,shum,1,valk,shum,FALSE
2014-02-03,pt,tyva,puzz,1,tyva,puzz,FALSE
2014-02-03,rst,loga,obi,1,loga,obi,FALSE
2014-02-03,rst,wall,dodg,1,wall,dodg,FALSE
2014-02-04,rst,laya,shum,1,laya,shum,FALSE
2014-02-04,rst,pris,laya,1,pris,laya,FALSE
2014-02-04,rst,xavi,wall,3,wall,xavi,TRUE
2014-02-04,rst,tear,glit,1,tear,glit,FALSE
2014-02-04,pt,leit,uthe,3,uthe,leit,TRUE
2014-02-04,rst,laya,arwe,1,laya,arwe,FALSE
2014-02-04,pt,puzz,glad,1,puzz,glad,FALSE
2014-02-07,rst,alla,obi,3,obi,alla,TRUE
2014-02-07,rbm,carm,ocea,1,carm,ocea,FALSE
2014-02-10,rbm,scar,schm,1,scar,schm,FALSE
2014-02-10,rbm,raqa,chew,1,raqa,chew,FALSE
