"","from","to","Scan","TroopID","Date","Time"
"1","puzz","pumb",21686,"pt","2014-06-10","08:32:00"
"2","lisa","lia",21691,"pt","2014-06-10","11:31:00"
"3","daff","uthe",21692,"pt","2014-06-10","12:01:00"
"4","leit","puzz",21695,"pt","2014-06-10","13:33:00"
"5","trac","tarz",21699,"pt","2014-06-10","16:35:00"
"6","tyva","trac",21700,"pt","2014-06-10","17:05:00"
"7","flo","fina",21710,"rbm","2014-06-11","12:02:00"
"8","holl","flo",21710,"rbm","2014-06-11","12:04:00"
"9","scar","saff",21719,"rbm","2014-06-11","16:31:00"
"10","carm","scar",21719,"rbm","2014-06-11","16:33:00"
"11","laya","pris",21724,"rst","2014-06-16","09:08:00"
"12","tear","timm",21726,"rst","2014-06-16","10:05:00"
"13","laya","razo",21728,"rst","2014-06-16","11:00:00"
"14","pene","arwe",21730,"rst","2014-06-16","12:02:00"
"15","meg","peet",21730,"rst","2014-06-16","12:05:00"
"16","shum","shel",21735,"rst","2014-06-16","15:01:00"
"17","sash","scar",21743,"rbm","2014-06-17","08:32:00"
"18","carm","zool",21743,"rbm","2014-06-17","08:36:00"
"19","sash","lucy",21745,"rbm","2014-06-17","09:33:00"
"20","zool","ocea",21751,"rbm","2014-06-17","12:32:00"
"21","scar","tyle",21752,"rbm","2014-06-17","13:03:00"
"22","ging","gizm",21756,"rbm","2014-06-17","15:07:00"
"23","leit","daff",21762,"pt","2014-06-18","08:00:00"
"24","tren","herm",21765,"pt","2014-06-18","09:39:00"
"25","herm","harr",21767,"pt","2014-06-18","10:31:00"
"26","leit","herm",21768,"pt","2014-06-18","11:02:00"
"27","leit","tren",21769,"pt","2014-06-18","11:37:00"
"28","lisa","lia",21777,"pt","2014-06-18","16:33:00"
"29","lisa","tyva",21778,"pt","2014-06-18","17:04:00"
"30","lisa","herm",21780,"pt","2014-06-23","08:05:00"
"31","brie","keit",21783,"pt","2014-06-23","09:37:00"
"32","herm","puzz",21786,"pt","2014-06-23","11:02:00"
"33","puzz","pumb",21787,"pt","2014-06-23","11:34:00"
