"","troop.nb","date","troop"
"2",25,2014-06-10,"pt"
"3",25,2014-07-10,"pt"
"4",25,2014-08-09,"pt"
"5",24,2014-09-08,"pt"
"6",28,2014-10-08,"pt"
"7",30,2014-11-07,"pt"
"8",28,2014-12-07,"pt"
"9",25,2015-01-06,"pt"
"10",24,2015-02-05,"pt"
"11",33,2015-03-07,"pt"
"12",31,2015-04-06,"pt"
"13",30,2015-05-06,"pt"
"14",29,2015-06-05,"pt"
"15",28,2015-07-05,"pt"
"16",30,2015-08-04,"pt"
"17",30,2015-09-03,"pt"
"18",30,2015-10-03,"pt"
"19",32,2015-11-02,"pt"
"20",36,2015-12-02,"pt"
"21",36,2016-01-01,"pt"
"22",32,2016-01-31,"pt"
"23",37,2016-03-01,"pt"
"24",44,2016-03-31,"pt"
"25",50,2016-04-30,"pt"
"26",48,2016-05-30,"pt"
"27",43,2016-06-29,"pt"
"28",40,2016-07-29,"pt"
"29",47,2016-08-28,"pt"
"30",49,2016-09-27,"pt"
"31",45,2016-10-27,"pt"
"32",42,2016-11-26,"pt"
"33",42,2016-12-26,"pt"
"34",42,2017-01-25,"pt"
"35",42,2017-02-24,"pt"
"36",48,2017-03-26,"pt"
"37",49,2017-04-25,"pt"
"38",40,2017-05-25,"pt"
"39",38,2017-06-24,"pt"
"40",41,2017-07-24,"pt"
"41",41,2017-08-23,"pt"
"42",39,2017-09-22,"pt"
"43",44,2017-10-22,"pt"
"44",45,2017-11-21,"pt"
"45",41,2017-12-21,"pt"
"46",42,2018-01-20,"pt"
"47",42,2018-02-19,"pt"
"48",54,2018-03-21,"pt"
"49",65,2018-04-20,"pt"
"50",60,2018-05-20,"pt"
"51",37,2018-06-19,"pt"
"52",36,2018-07-19,"pt"
"53",35,2018-08-18,"pt"
"54",46,2014-06-16,"rst"
"55",46,2014-07-16,"rst"
"56",45,2014-08-15,"rst"
"57",46,2014-09-14,"rst"
"58",47,2014-10-14,"rst"
"59",48,2014-11-13,"rst"
"60",48,2014-12-13,"rst"
"61",51,2015-01-12,"rst"
"62",53,2015-02-11,"rst"
"63",56,2015-03-13,"rst"
"64",59,2015-04-12,"rst"
"65",57,2015-05-12,"rst"
"66",56,2015-06-11,"rst"
"67",56,2015-07-11,"rst"
"68",53,2015-08-10,"rst"
"69",54,2015-09-09,"rst"
"70",61,2015-10-09,"rst"
"71",63,2015-11-08,"rst"
"72",63,2015-12-08,"rst"
"73",65,2016-01-07,"rst"
"74",66,2016-02-06,"rst"
"75",63,2016-03-07,"rst"
"76",65,2016-04-06,"rst"
"77",61,2016-05-06,"rst"
"78",60,2016-06-05,"rst"
"79",61,2016-07-05,"rst"
"80",61,2016-08-04,"rst"
"81",61,2016-09-03,"rst"
"82",59,2016-10-03,"rst"
"83",61,2016-11-02,"rst"
"84",60,2016-12-02,"rst"
"85",54,2017-01-01,"rst"
"86",47,2017-01-31,"rst"
"87",44,2017-03-02,"rst"
"88",41,2017-04-01,"rst"
"89",41,2017-05-01,"rst"
"90",39,2017-05-31,"rst"
"91",40,2017-06-30,"rst"
"92",39,2017-07-30,"rst"
"93",38,2017-08-29,"rst"
"94",42,2017-09-28,"rst"
"95",43,2017-10-28,"rst"
"96",41,2017-11-27,"rst"
"97",45,2017-12-27,"rst"
"98",44,2018-01-26,"rst"
"99",43,2018-02-25,"rst"
"100",44,2018-03-27,"rst"
"101",43,2018-04-26,"rst"
"102",43,2018-05-26,"rst"
"103",41,2018-06-25,"rst"
"104",41,2018-07-25,"rst"
"105",40,2018-08-24,"rst"
"106",37,2014-06-11,"rbm"
"107",37,2014-07-11,"rbm"
"108",37,2014-08-10,"rbm"
"109",39,2014-09-09,"rbm"
"110",41,2014-10-09,"rbm"
"111",41,2014-11-08,"rbm"
"112",41,2014-12-08,"rbm"
"113",41,2015-01-07,"rbm"
"114",40,2015-02-06,"rbm"
"115",44,2015-03-08,"rbm"
"116",45,2015-04-07,"rbm"
"117",45,2015-05-07,"rbm"
"118",44,2015-06-06,"rbm"
"119",43,2015-07-06,"rbm"
"120",42,2015-08-05,"rbm"
"121",48,2015-09-04,"rbm"
"122",50,2015-10-04,"rbm"
"123",51,2015-11-03,"rbm"
"124",56,2015-12-03,"rbm"
"125",59,2016-01-02,"rbm"
"126",53,2016-02-01,"rbm"
"127",56,2016-03-02,"rbm"
"128",55,2016-04-01,"rbm"
"129",46,2016-05-01,"rbm"
"130",48,2016-05-31,"rbm"
"131",49,2016-06-30,"rbm"
"132",45,2016-07-30,"rbm"
"133",55,2016-08-29,"rbm"
"134",56,2016-09-28,"rbm"
"135",52,2016-10-28,"rbm"
"136",44,2016-11-27,"rbm"
"137",43,2016-12-27,"rbm"
"138",44,2017-01-26,"rbm"
"139",44,2017-02-25,"rbm"
"140",47,2017-03-27,"rbm"
"141",48,2017-04-26,"rbm"
"142",49,2017-05-26,"rbm"
"143",46,2017-06-25,"rbm"
"144",46,2017-07-25,"rbm"
"145",46,2017-08-24,"rbm"
"146",46,2017-09-23,"rbm"
"147",48,2017-10-23,"rbm"
"148",44,2017-11-22,"rbm"
"149",42,2017-12-22,"rbm"
"150",39,2018-01-21,"rbm"
"151",41,2018-02-20,"rbm"
"152",44,2018-03-22,"rbm"
"153",45,2018-04-21,"rbm"
"154",40,2018-05-21,"rbm"
"155",40,2018-06-20,"rbm"
"156",40,2018-07-20,"rbm"
"157",38,2018-08-19,"rbm"
