"","weight","strong","dyads","focal","date","troop","nb_int"
"1",1,0,"amy leon","amy",2014-06-16,"rst",3
"2",1,0,"amy ubun","amy",2014-06-16,"rst",3
"3",2,0,"amy arwe","amy",2014-06-16,"rst",3
"4",1,0,"arwe cycl","arwe",2014-06-16,"rst",6
"5",1,0,"arwe kels","arwe",2014-06-16,"rst",6
"6",1,0,"arwe obi","arwe",2014-06-16,"rst",6
"7",1,0,"arwe shum","arwe",2014-06-16,"rst",6
"8",2,0,"amy arwe","arwe",2014-06-16,"rst",6
"9",3,0,"arwe pene","arwe",2014-06-16,"rst",6
"10",1,0,"dott jasm","dott",2014-06-16,"rst",3
"11",1,0,"dott meg","dott",2014-06-16,"rst",3
"12",5,0,"dart dott","dott",2014-06-16,"rst",3
"13",1,0,"cycl laya","laya",2014-06-16,"rst",5
"14",1,0,"laya pris","laya",2014-06-16,"rst",5
"15",1,0,"laya wall","laya",2014-06-16,"rst",5
"16",2,0,"laya razo","laya",2014-06-16,"rst",5
"17",5,0,"laya leon","laya",2014-06-16,"rst",5
"18",1,0,"amy leon","leon",2014-06-16,"rst",2
"19",5,0,"laya leon","leon",2014-06-16,"rst",2
"20",1,0,"dott meg","meg",2014-06-16,"rst",9
"21",1,0,"eve meg","meg",2014-06-16,"rst",9
"22",1,0,"kels meg","meg",2014-06-16,"rst",9
"23",1,0,"malc meg","meg",2014-06-16,"rst",9
"24",1,0,"meg peet","meg",2014-06-16,"rst",9
"25",1,0,"meg pris","meg",2014-06-16,"rst",9
"26",1,0,"meg shum","meg",2014-06-16,"rst",9
"27",1,0,"meg wall","meg",2014-06-16,"rst",9
"28",2,0,"meg rock","meg",2014-06-16,"rst",9
"29",1,0,"nina rock","nina",2014-06-16,"rst",2
"30",2,0,"gunt nina","nina",2014-06-16,"rst",2
"31",2,0,"obi pene","pene",2014-06-16,"rst",3
"32",3,0,"arwe pene","pene",2014-06-16,"rst",3
"33",6,0,"pene prof","pene",2014-06-16,"rst",3
"34",1,0,"kels rock","rock",2014-06-16,"rst",3
"35",1,0,"nina rock","rock",2014-06-16,"rst",3
"36",2,0,"meg rock","rock",2014-06-16,"rst",3
"37",1,0,"arwe shum","shum",2014-06-16,"rst",5
"38",1,0,"dodg shum","shum",2014-06-16,"rst",5
"39",1,0,"meg shum","shum",2014-06-16,"rst",5
"40",1,0,"obi shum","shum",2014-06-16,"rst",5
"41",14,1,"shel shum","shum",2014-06-16,"rst",5
"42",1,0,"razo tear","tear",2014-06-16,"rst",3
"43",1,0,"tear ubun","tear",2014-06-16,"rst",3
"44",4,0,"tear timm","tear",2014-06-16,"rst",3
"45",1,0,"arwe jasm","arwe",2014-07-16,"rst",6
"46",1,0,"arwe kels","arwe",2014-07-16,"rst",6
"47",1,0,"arwe obi","arwe",2014-07-16,"rst",6
"48",1,0,"arwe shum","arwe",2014-07-16,"rst",6
"49",2,0,"arwe pene","arwe",2014-07-16,"rst",6
"50",9,1,"amy arwe","arwe",2014-07-16,"rst",6
"51",1,0,"cycl dodg","cycl",2014-07-16,"rst",2
"52",2,0,"cycl laya","cycl",2014-07-16,"rst",2
"53",1,0,"dott jasm","dott",2014-07-16,"rst",2
"54",5,0,"dart dott","dott",2014-07-16,"rst",2
"55",1,0,"alla laur","laur",2014-07-16,"rst",3
"56",1,0,"jasm laur","laur",2014-07-16,"rst",3
"57",7,0,"laur loki","laur",2014-07-16,"rst",3
"58",1,0,"laya wall","laya",2014-07-16,"rst",4
"59",1,0,"laya xavi","laya",2014-07-16,"rst",4
"60",2,0,"cycl laya","laya",2014-07-16,"rst",4
"61",3,0,"laya leon","laya",2014-07-16,"rst",4
"62",1,0,"nina rock","nina",2014-07-16,"rst",2
"63",2,0,"gunt nina","nina",2014-07-16,"rst",2
"64",1,0,"malc pene","pene",2014-07-16,"rst",5
"65",1,0,"pene thun","pene",2014-07-16,"rst",5
"66",2,0,"arwe pene","pene",2014-07-16,"rst",5
"67",2,0,"obi pene","pene",2014-07-16,"rst",5
"68",9,1,"pene prof","pene",2014-07-16,"rst",5
"69",1,0,"meg pris","pris",2014-07-16,"rst",3
"70",1,0,"pris wall","pris",2014-07-16,"rst",3
"71",2,0,"peet pris","pris",2014-07-16,"rst",3
"72",1,0,"arwe shum","shum",2014-07-16,"rst",5
"73",1,0,"dodg shum","shum",2014-07-16,"rst",5
"74",1,0,"jasm shum","shum",2014-07-16,"rst",5
"75",1,0,"obi shum","shum",2014-07-16,"rst",5
"76",11,1,"shel shum","shum",2014-07-16,"rst",5
"77",1,0,"razo tear","tear",2014-07-16,"rst",2
"78",3,0,"tear timm","tear",2014-07-16,"rst",2
"79",1,0,"ella valk","valk",2014-07-16,"rst",4
"80",1,0,"jasm valk","valk",2014-07-16,"rst",4
"81",1,0,"tige valk","valk",2014-07-16,"rst",4
"82",2,0,"valk vect","valk",2014-07-16,"rst",4
"83",1,0,"amy kels","amy",2014-08-15,"rst",2
"84",14,1,"amy arwe","amy",2014-08-15,"rst",2
"85",1,0,"arwe cycl","arwe",2014-08-15,"rst",4
"86",2,0,"arwe jasm","arwe",2014-08-15,"rst",4
"87",2,0,"arwe kels","arwe",2014-08-15,"rst",4
"88",14,1,"amy arwe","arwe",2014-08-15,"rst",4
"89",1,0,"dott jasm","jasm",2014-08-15,"rst",7
"90",1,0,"jasm katn","jasm",2014-08-15,"rst",7
"91",1,0,"jasm kels","jasm",2014-08-15,"rst",7
